,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,quality,sum_ligne,bound_SO2
462,15.9,0.36,0.65,7.5,0.096,22.0,0.9976,2.98,0.84,14.9,5,115.2236,49.0
329,8.8,0.46,0.45,2.6,0.065,7.0,0.9947,3.32,0.79,14.0,6,49.4797,11.0
96,5.2,0.34,1e-12,1.8,0.05,27.0,0.9916,3.68,0.79,14.0,6,89.851600000001,36.0
898,5.0,0.38,0.01,1.6,0.048,26.0,0.99084,3.7,0.75,14.0,6,86.47883999999999,34.0
419,5.0,0.42,0.24,2.0,0.06,19.0,0.9917,3.72,0.74,14.0,8,77.1717,31.0
589,4.9,0.42,1e-12,2.1,0.048,16.0,0.99154,3.71,0.74,14.0,7,68.909540000001,26.0
1054,5.3,0.47,0.11,2.2,0.048,16.0,0.99182,3.54,0.88,13.6,7,116.13982,73.0
799,7.4,0.36,0.34,1.8,0.075,18.0,0.9933,3.38,0.88,13.6,7,66.82830000000001,20.0
868,5.1,0.42,1e-12,1.8,0.044,18.0,0.99157,3.68,0.73,13.6,7,114.365570000001,70.0
787,5.0,0.4,0.5,4.3,0.046,29.0,0.9902,3.49,0.66,13.6,6,108.9862,51.0
1052,5.3,0.47,0.11,2.2,0.048,16.0,0.99182,3.54,0.88,13.566666666666698,7,116.1064866666667,73.0
346,8.9,0.4,0.51,2.6,0.052,13.0,0.995,3.32,0.9,13.4,7,58.077,14.0
321,11.3,0.62,0.67,5.2,0.086,6.0,0.9988,3.22,0.69,13.4,8,55.184799999999996,13.0
267,11.4,0.625,0.66,6.2,0.088,6.0,0.9988,3.11,0.99,13.3,6,61.3718,18.0
345,9.2,0.41,0.5,2.5,0.055,12.0,0.9952,3.34,0.79,13.3,7,56.090199999999996,13.0
791,7.1,0.39,0.12,2.1,0.065,14.0,0.99252,3.3,0.53,13.3,6,51.89752,10.0
643,9.3,0.38,0.48,3.8,0.132,3.0,0.99577,3.23,0.57,13.2,6,43.08777,8.0
793,7.9,0.54,0.34,2.5,0.076,8.0,0.99235,3.2,0.72,13.1,8,46.36835,9.0
32,4.6,0.52,0.15,2.1,0.054,8.0,0.9934,3.9,0.56,13.1,4,90.97739999999999,57.0
248,13.5,0.53,0.79,4.8,0.12,23.0,1.0018,3.18,0.77,13.0,5,114.6918,54.0
91,5.6,0.5,0.09,2.3,0.049,17.0,0.9937,3.63,0.63,13.0,5,125.7927,82.0
274,12.0,0.37,0.76,4.2,0.066,7.0,1.0004,3.22,0.6,13.0,7,73.2164,31.0
577,5.1,0.585,1e-12,1.7,0.044,14.0,0.99264,3.56,0.94,12.9,7,111.821640000001,72.0
821,5.1,0.51,0.18,2.1,0.042,16.0,0.9924,3.46,0.87,12.9,7,127.15440000000001,85.0
271,5.6,0.85,0.05,1.4,0.045,12.0,0.9924,3.56,0.82,12.9,8,114.2174,76.0
690,7.3,0.52,0.32,2.1,0.07,51.0,0.99418,3.34,0.82,12.9,6,98.36418,19.0
792,5.6,0.66,1e-12,2.5,0.066,7.0,0.99256,3.52,0.58,12.9,5,41.818560000001,8.0
739,5.6,0.605,0.05,2.4,0.073,19.0,0.99258,3.56,0.55,12.9,5,51.730579999999996,6.0
701,6.4,0.69,1e-12,1.65,0.055,7.0,0.99162,3.47,0.53,12.9,6,38.686620000001,5.0
190,7.9,0.35,0.46,3.6,0.078,15.0,0.9973,3.35,0.86,12.8,8,67.3953,22.0
377,10.3,0.27,0.24,2.1,0.072,15.0,0.9956,3.22,0.66,12.8,6,63.6576,18.0
493,5.1,0.47,0.02,1.3,0.034,18.0,0.9921,3.9,0.62,12.8,6,69.2361,26.0
250,6.7,0.75,0.01,2.4,0.078,17.0,0.9955,3.55,0.61,12.8,6,59.8935,15.0
780,6.3,0.57,0.28,2.1,0.048,13.0,0.99374,3.41,0.6,12.8,5,76.10174,36.0
930,6.5,0.51,0.15,3.0,0.064,12.0,0.9929,3.33,0.59,12.8,6,54.9369,15.0
704,6.8,0.36,0.32,1.8,0.067,4.0,0.9928,3.36,0.55,12.8,7,35.049800000000005,4.0
873,7.1,0.75,0.01,2.2,0.059,11.0,0.99242,3.39,0.4,12.8,6,45.70142,7.0
740,8.3,0.33,0.42,2.3,0.07,9.0,0.99426,3.38,0.77,12.7,7,49.26426,11.0
400,13.0,0.47,0.49,4.3,0.085,6.0,1.0021,3.3,0.68,12.7,6,83.0271,41.0
431,6.3,0.36,0.19,3.2,0.075,15.0,0.9956,3.56,0.52,12.7,6,66.9006,24.0
519,6.4,0.865,0.03,3.2,0.071,27.0,0.995,3.61,0.49,12.7,6,86.361,31.0
714,8.0,0.18,0.37,0.9,0.049,36.0,0.99007,2.89,0.44,12.7,6,135.51907,73.0
197,10.3,0.32,0.45,6.4,0.073,5.0,0.9976,3.23,0.82,12.6,8,48.190599999999996,8.0
729,8.7,0.41,0.41,6.2,0.078,25.0,0.9953,3.24,0.77,12.6,7,75.4033,17.0
713,8.9,0.38,0.4,2.2,0.068,12.0,0.99486,3.27,0.75,12.6,7,57.56286,16.0
948,6.6,0.58,0.02,2.4,0.069,19.0,0.99387,3.38,0.66,12.6,6,67.30287,21.0
722,7.9,0.31,0.32,1.9,0.066,14.0,0.99364,3.41,0.56,12.6,6,64.05964,22.0
1048,6.7,0.7,0.08,3.75,0.067,8.0,0.99334,3.43,0.52,12.6,5,44.84034,8.0
312,5.3,0.57,0.01,1.7,0.054,5.0,0.9934,3.57,0.84,12.5,7,52.5374,22.0
358,10.2,0.49,0.63,2.9,0.072,10.0,0.9968,3.16,0.78,12.5,7,57.72880000000001,16.0
633,8.3,0.31,0.39,2.4,0.078,17.0,0.99444,3.31,0.77,12.5,7,72.05244,26.0
752,6.6,0.52,0.08,2.4,0.07,13.0,0.99358,3.4,0.72,12.5,7,53.28358,13.0
580,8.4,0.25,0.39,2.0,0.0409999999999999,4.0,0.99386,3.27,0.71,12.5,7,38.554860000000005,6.0
238,8.9,0.43,0.45,1.9,0.052,6.0,0.9948,3.35,0.7,12.5,6,45.2768,10.0
747,9.1,0.4,0.5,1.8,0.071,7.0,0.99462,3.21,0.69,12.5,8,45.265620000000006,9.0
1125,6.0,0.58,0.2,2.4,0.075,15.0,0.99467,3.58,0.67,12.5,6,76.99967000000001,35.0
816,6.1,0.58,0.23,2.5,0.044,16.0,0.99352,3.46,0.65,12.5,6,97.05752,54.0
923,5.2,0.645,1e-12,2.15,0.08,15.0,0.99444,3.78,0.61,12.5,6,53.959440000001,13.0
933,5.4,0.74,1e-12,1.2,0.0409999999999999,16.0,0.99258,4.01,0.59,12.5,6,71.47358000000101,30.0
935,5.0,0.74,1e-12,1.2,0.0409999999999999,16.0,0.99258,4.01,0.59,12.5,6,71.073580000001,30.0
986,6.0,0.49,1e-12,2.3,0.068,15.0,0.99292,3.58,0.59,12.5,6,59.520920000001,18.0
728,7.6,0.31,0.34,2.5,0.0819999999999999,26.0,0.99356,3.22,0.59,12.5,7,63.135560000000005,9.0
840,9.1,0.4,0.57,4.6,0.08,6.0,0.99652,3.28,0.57,12.5,6,52.09652,14.0
571,10.1,0.27,0.54,2.3,0.065,7.0,0.99531,3.17,0.53,12.5,6,56.47031,19.0
664,9.9,0.27,0.49,5.0,0.0819999999999999,9.0,0.99484,3.19,0.52,12.5,7,49.94684,8.0
1000,8.1,0.29,0.36,2.2,0.048,35.0,0.995,3.27,1.01,12.4,7,81.673,18.0
1122,6.4,0.36,0.53,2.2,0.23,19.0,0.9934,3.37,0.93,12.4,6,62.4134,16.0
824,8.2,0.33,0.39,2.5,0.074,29.0,0.99528,3.32,0.88,12.4,7,77.08928,19.0
148,9.7,0.53,0.6,2.0,0.039,5.0,0.99585,3.3,0.86,12.4,6,49.42485,14.0
842,7.2,0.25,0.37,2.5,0.063,11.0,0.99439,3.52,0.8,12.4,7,69.09739,30.0
776,8.4,0.34,0.42,2.1,0.072,23.0,0.99392,3.11,0.78,12.4,6,64.61592,13.0
918,5.9,0.395,0.13,2.4,0.0559999999999999,14.0,0.99362,3.62,0.67,12.4,6,54.564620000000005,14.0
779,8.0,0.48,0.34,2.2,0.073,16.0,0.9936,3.28,0.66,12.4,6,53.4266,9.0
668,8.3,0.28,0.48,2.1,0.093,6.0,0.99408,3.26,0.62,12.4,7,40.527080000000005,6.0
1064,7.1,0.22,0.49,1.8,0.039,8.0,0.99344,3.39,0.56,12.4,6,44.99244,10.0
828,9.7,0.42,0.46,2.1,0.074,5.0,0.99649,3.27,0.74,12.3,6,46.06049,11.0
785,5.4,0.42,0.27,2.0,0.092,23.0,0.99471,3.78,0.64,12.3,7,80.89671,32.0
294,6.6,0.84,0.03,2.3,0.059,32.0,0.9952,3.52,0.56,12.3,7,75.2042,16.0
719,8.2,0.32,0.42,2.3,0.098,3.0,0.99506,3.27,0.55,12.3,6,37.45306,6.0
708,8.9,0.28,0.45,1.7,0.067,7.0,0.99354,3.25,0.55,12.3,7,40.490539999999996,5.0
761,7.9,0.3,0.68,8.3,0.05,37.5,0.99316,3.01,0.51,12.3,7,323.04316,251.5
760,7.9,0.3,0.68,8.3,0.05,37.5,0.99316,3.01,0.51,12.3,7,312.04316,240.5
794,6.3,0.47,1e-12,1.4,0.055,27.0,0.9922,3.45,0.48,12.3,6,58.447200000001004,6.0
237,11.9,0.695,0.53,3.4,0.128,7.0,0.9992,3.17,0.84,12.2,7,54.862199999999994,14.0
162,5.2,0.48,0.04,1.6,0.054,19.0,0.9927,3.54,0.62,12.2,7,130.7267,87.0
645,10.0,0.46,0.44,2.9,0.065,4.0,0.99674,3.33,0.62,12.2,6,39.01174,4.0
732,6.4,0.39,0.33,3.3,0.046,12.0,0.99294,3.36,0.62,12.2,6,80.63894,41.0
682,9.0,0.4,0.43,2.4,0.068,29.0,0.9943,3.2,0.6,12.2,6,75.29230000000001,17.0
921,5.7,0.6,1e-12,1.4,0.063,11.0,0.99191,3.45,0.56,12.2,6,42.964910000001,7.0
1009,7.3,0.34,0.33,2.5,0.064,21.0,0.9952,3.35,0.77,12.1,7,64.7492,16.0
673,10.2,0.34,0.48,2.1,0.052,5.0,0.99458,3.2,0.69,12.1,7,39.15658,4.0
666,8.3,0.3,0.49,3.8,0.09,11.0,0.99498,3.27,0.64,12.1,7,53.98498,13.0
684,8.8,0.33,0.41,5.9,0.073,7.0,0.99658,3.3,0.62,12.1,7,45.52958,6.0
920,7.2,0.53,0.14,2.1,0.064,15.0,0.99323,3.35,0.61,12.1,6,56.08723,14.0
742,8.9,0.48,0.53,4.0,0.1009999999999999,3.0,0.99586,3.21,0.59,12.1,7,40.90686,7.0
348,6.5,0.39,0.23,8.3,0.051,28.0,0.9952,3.44,0.55,12.1,6,123.55619999999999,63.0
262,9.4,0.27,0.53,2.4,0.074,6.0,0.9962,3.2,1.13,12.0,7,48.0002,12.0
667,10.2,0.44,0.58,4.1,0.092,11.0,0.99745,3.29,0.99,12.0,7,56.689449999999994,13.0
244,13.8,0.49,0.67,3.0,0.093,6.0,0.9986,3.02,0.93,12.0,6,50.001599999999996,9.0
772,9.2,0.31,0.36,2.2,0.079,11.0,0.99615,3.33,0.86,12.0,7,60.33515,20.0
355,10.4,0.44,0.73,6.55,0.074,38.0,0.999,3.17,0.85,12.0,7,111.21300000000001,38.0
622,8.4,0.31,0.29,3.1,0.1939999999999999,14.0,0.99536,3.22,0.78,12.0,6,55.28936,12.0
763,8.7,0.42,0.45,2.4,0.072,32.0,0.99617,3.33,0.77,12.0,6,88.13817,27.0
658,8.7,0.33,0.38,3.3,0.063,10.0,0.99468,3.3,0.73,12.0,7,48.79768,9.0
707,8.9,0.35,0.4,3.6,0.11,12.0,0.99549,3.23,0.7,12.0,7,54.285489999999996,12.0
382,12.9,0.35,0.49,5.8,0.066,5.0,1.0014,3.2,0.66,12.0,7,71.4674,30.0
1098,6.2,0.64,0.09,2.5,0.081,15.0,0.99538,3.57,0.63,12.0,5,52.706379999999996,11.0
777,7.4,0.49,0.27,2.1,0.071,14.0,0.99388,3.35,0.63,12.0,6,52.30488,11.0
904,8.5,0.4,0.4,6.3,0.05,3.0,0.99566,3.28,0.56,12.0,4,42.48566,7.0
825,6.5,0.34,0.27,2.8,0.067,8.0,0.99384,3.21,0.56,12.0,6,70.74083999999999,36.0
463,9.4,0.33,0.59,2.8,0.079,9.0,0.9976,3.12,0.54,12.0,6,59.8566,21.0
815,10.0,0.35,0.47,2.0,0.061,6.0,0.99585,3.23,0.52,12.0,6,40.626850000000005,5.0
1065,6.2,0.65,0.06,1.6,0.05,6.0,0.99348,3.57,0.54,11.95,5,43.613479999999996,12.0
995,7.6,0.3,0.42,2.0,0.052,6.0,0.9963,3.44,0.82,11.9,6,51.5283,18.0
1038,7.9,0.2,0.35,1.7,0.054,7.0,0.99458,3.32,0.8,11.9,7,42.21858,8.0
669,8.9,0.12,0.45,1.8,0.075,10.0,0.99552,3.41,0.76,11.9,7,49.41052,11.0
367,12.5,0.6,0.49,4.3,0.1,5.0,1.001,3.25,0.74,11.9,6,48.881,9.0
646,8.6,0.315,0.4,2.2,0.079,3.0,0.99512,3.27,0.67,11.9,6,34.429120000000005,3.0
1128,6.2,0.7,0.15,5.1,0.076,13.0,0.99622,3.54,0.6,11.9,6,56.26222,14.0
1130,7.4,0.35,0.33,2.4,0.068,9.0,0.9947,3.36,0.6,11.9,6,53.4027,17.0
802,8.0,0.25,0.43,1.7,0.067,22.0,0.9946,3.38,0.6,11.9,6,77.3216,28.0
249,6.1,0.21,0.4,1.4,0.066,40.5,0.9912,3.25,0.59,11.9,6,189.9072,124.5
716,11.3,0.36,0.66,2.4,0.123,3.0,0.99642,3.2,0.53,11.9,6,39.46942,5.0
1131,6.1,0.715,0.1,2.6,0.053,13.0,0.99362,3.57,0.5,11.9,5,53.53162,14.0
1002,6.6,0.96,1e-12,1.8,0.0819999999999999,5.0,0.9936,3.5,0.44,11.9,6,42.275600000001006,11.0
650,8.4,0.62,0.12,1.8,0.072,38.0,0.99504,3.38,0.89,11.8,6,74.07704000000001,8.0
619,8.8,0.31,0.4,2.8,0.109,7.0,0.99614,3.31,0.79,11.8,7,45.31514,9.0
870,7.7,0.18,0.34,2.7,0.066,15.0,0.9947,3.37,0.78,11.8,6,85.9307,43.0
820,8.5,0.18,0.51,1.75,0.071,45.0,0.99524,3.33,0.76,11.8,7,115.89623999999999,43.0
801,8.5,0.28,0.35,1.7,0.061,6.0,0.99524,3.3,0.74,11.8,7,42.72624,9.0
893,8.5,0.37,0.32,1.8,0.066,26.0,0.99456,3.38,0.72,11.8,6,78.95056,25.0
662,8.8,0.3,0.38,2.3,0.06,19.0,0.99543,3.39,0.72,11.8,6,100.74543,53.0
822,8.5,0.32,0.42,2.3,0.075,12.0,0.99434,3.14,0.71,11.8,7,47.25934,7.0
636,8.9,0.31,0.36,2.6,0.0559999999999999,10.0,0.99562,3.4,0.69,11.8,5,68.11162,29.0
364,10.5,0.51,0.64,2.4,0.107,6.0,0.9973,3.09,0.66,11.8,7,45.7043,9.0
1126,7.5,0.52,0.4,2.2,0.06,12.0,0.99474,3.26,0.64,11.8,6,47.37474,8.0
749,10.2,0.29,0.65,2.4,0.075,6.0,0.99565,3.22,0.63,11.8,6,47.26065,11.0
769,10.0,0.26,0.54,1.9,0.083,42.0,0.99451,2.98,0.63,11.8,8,103.18751,32.0
750,8.2,0.74,0.09,2.0,0.067,5.0,0.99418,3.28,0.57,11.8,6,37.74118,5.0
620,7.7,0.715,0.01,2.1,0.064,31.0,0.99371,3.41,0.57,11.8,6,70.36271,12.0
877,6.5,0.67,1e-12,4.3,0.057,11.0,0.99488,3.45,0.56,11.8,4,48.331880000001,9.0
969,7.2,0.605,0.02,1.9,0.096,10.0,0.995,3.46,0.53,11.8,6,57.606,21.0
960,7.2,0.62,0.01,2.3,0.065,8.0,0.99332,3.32,0.51,11.8,6,72.81832,38.0
813,10.0,0.41,0.45,6.2,0.071,6.0,0.99702,3.21,0.49,11.8,7,47.62802,8.0
340,9.4,0.3,0.56,2.8,0.08,6.0,0.9964,3.15,0.92,11.7,8,46.906400000000005,11.0
781,9.1,0.3,0.41,2.0,0.068,10.0,0.99523,3.27,0.85,11.7,7,52.69323,14.0
706,9.1,0.3,0.34,2.0,0.064,12.0,0.99516,3.26,0.84,11.7,7,53.59916,13.0
705,9.1,0.29,0.33,2.05,0.063,13.0,0.99516,3.26,0.84,11.7,7,55.628159999999994,14.0
287,9.9,0.4,0.53,6.7,0.0969999999999999,6.0,0.9986,3.27,0.82,11.7,7,53.4156,13.0
252,10.5,0.42,0.66,2.95,0.1159999999999999,12.0,0.997,3.24,0.75,11.7,7,60.333,17.0
924,6.7,0.86,0.07,2.0,0.1,20.0,0.99598,3.6,0.74,11.7,6,83.76598,37.0
236,7.9,0.65,0.01,2.5,0.078,17.0,0.9963,3.34,0.74,11.7,7,65.9143,21.0
850,8.6,0.42,0.39,1.8,0.068,6.0,0.99516,3.35,0.69,11.7,8,40.01316,6.0
290,10.6,0.48,0.64,2.2,0.111,6.0,0.997,3.26,0.66,11.7,6,50.648,14.0
1096,6.6,0.56,0.14,2.4,0.064,13.0,0.99397,3.42,0.62,11.7,7,55.49797,16.0
899,7.3,0.44,0.2,1.6,0.049,24.0,0.9935,3.38,0.57,11.7,6,90.2325,40.0
408,6.2,0.36,0.24,2.2,0.095,19.0,0.9946,3.57,0.57,11.7,6,67.9296,23.0
398,10.9,0.53,0.49,4.6,0.118,10.0,1.0002,3.07,0.56,11.7,6,49.968199999999996,7.0
1027,6.9,0.58,0.2,1.75,0.0579999999999999,8.0,0.99322,3.38,0.49,11.7,5,48.05122,14.0
597,6.7,0.28,0.28,2.4,0.012,36.0,0.99064,3.26,0.39,11.7,7,126.01263999999999,64.0
974,7.5,0.58,0.56,3.1,0.153,5.0,0.99476,3.21,1.03,11.6,6,42.72776,9.0
1136,6.3,0.55,0.15,1.8,0.077,26.0,0.99314,3.32,0.82,11.6,6,60.61014,9.0
1133,6.7,0.32,0.44,2.4,0.061,24.0,0.99484,3.29,0.8,11.6,7,60.60584,10.0
1033,6.6,0.58,0.02,2.0,0.062,37.0,0.99374,3.35,0.76,11.6,7,78.96574000000001,16.0
744,9.9,0.53,0.57,2.4,0.093,30.0,0.9971,3.19,0.76,11.6,7,82.0401,22.0
347,8.7,0.69,0.31,3.0,0.086,23.0,1.0002,3.48,0.74,11.6,6,110.6062,58.0
814,7.8,0.39,0.42,2.0,0.086,9.0,0.99526,3.39,0.66,11.6,6,48.34126,12.0
765,8.5,0.34,0.4,4.7,0.055,3.0,0.99738,3.38,0.66,11.6,7,39.63238,6.0
1099,6.2,0.52,0.08,4.4,0.071,11.0,0.99646,3.56,0.63,11.6,6,60.05746,21.0
505,7.8,0.545,0.12,2.5,0.068,11.0,0.996,3.34,0.61,11.6,6,62.579,24.0
1137,5.4,0.74,0.09,1.7,0.089,16.0,0.99402,3.67,0.56,11.6,6,50.843019999999996,10.0
723,6.4,0.795,1e-12,2.2,0.065,28.0,0.99378,3.49,0.52,11.6,5,78.063780000001,24.0
233,10.3,0.44,0.5,4.5,0.107,5.0,0.998,3.28,0.83,11.5,5,45.455,8.0
862,10.9,0.32,0.52,1.8,0.132,17.0,0.99734,3.28,0.77,11.5,6,74.21934,27.0
232,11.6,0.53,0.66,3.65,0.121,6.0,0.9978,3.05,0.74,11.5,7,46.8488,8.0
328,10.3,0.5,0.42,2.0,0.069,21.0,0.9982,3.16,0.72,11.5,6,80.6672,30.0
702,7.5,0.43,0.3,2.2,0.062,6.0,0.99495,3.44,0.72,11.5,7,39.14695,6.0
227,9.8,0.66,0.39,3.2,0.083,21.0,0.9989,3.37,0.71,11.5,7,89.7119,38.0
831,6.5,0.61,1e-12,2.2,0.095,48.0,0.99541,3.61,0.7,11.5,6,85.210410000001,11.0
528,8.3,0.76,0.29,4.2,0.075,12.0,0.9965,3.45,0.68,11.5,6,46.2515,4.0
1069,6.9,0.74,0.03,2.3,0.054,7.0,0.99508,3.45,0.63,11.5,6,42.59908,9.0
396,5.0,1.04,0.24,1.6,0.05,32.0,0.9934,3.74,0.62,11.5,5,120.7834,64.0
826,7.6,0.5,0.29,2.3,0.086,5.0,0.99502,3.32,0.62,11.5,6,41.21102,9.0
796,6.3,0.76,1e-12,2.9,0.072,26.0,0.99379,3.51,0.6,11.5,6,78.635790000001,26.0
771,7.0,0.54,0.09,2.0,0.081,10.0,0.99479,3.43,0.59,11.5,6,42.225789999999996,6.0
122,7.4,0.62,0.05,1.9,0.068,24.0,0.9961,3.42,0.57,11.5,6,68.5241,18.0
1121,6.2,0.51,0.14,1.9,0.0559999999999999,15.0,0.99396,3.48,0.57,11.5,6,59.349959999999996,19.0
907,9.8,0.3,0.39,1.7,0.062,3.0,0.9948,3.14,0.57,11.5,7,37.4568,6.0
641,6.1,0.56,1e-12,2.2,0.079,6.0,0.9948,3.59,0.54,11.5,6,34.563800000001,3.0
521,8.9,0.875,0.13,3.45,0.088,4.0,0.9994,3.44,0.52,11.5,5,43.9024,10.0
421,6.6,0.39,0.49,1.7,0.07,23.0,0.9922,3.12,0.5,11.5,6,174.3622,126.0
896,10.4,0.43,0.5,2.3,0.068,13.0,0.996,3.1,0.87,11.4,6,49.064,6.0
1134,7.5,0.31,0.41,2.4,0.065,34.0,0.99492,3.34,0.85,11.4,6,87.26992,26.0
1014,7.0,0.54,1e-12,2.1,0.079,39.0,0.9956,3.39,0.84,11.4,6,81.34460000000101,16.0
372,7.0,0.38,0.49,2.5,0.0969999999999999,33.0,0.9962,3.39,0.77,11.4,6,112.0232,52.0
803,10.4,0.52,0.45,2.0,0.08,6.0,0.99774,3.22,0.76,11.4,6,42.82774,7.0
833,5.6,0.915,1e-12,2.1,0.0409999999999999,17.0,0.99346,3.68,0.73,11.4,5,103.459460000001,61.0
758,9.9,0.32,0.56,2.0,0.073,3.0,0.99534,3.15,0.73,11.4,6,37.12834,5.0
333,9.6,0.54,0.42,2.4,0.081,25.0,0.997,3.2,0.71,11.4,6,81.348,27.0
1104,7.4,0.36,0.3,1.8,0.074,17.0,0.99419,3.24,0.7,11.4,8,50.268190000000004,7.0
361,13.3,0.29,0.75,2.8,0.084,23.0,0.9986,3.04,0.68,11.4,7,76.3426,20.0
